Year,shadow,avgtemp_feb,NEavgtemp_feb,MWavgtemp_feb,avgtemp_march,NEavgtemp_march,MWavgtemp_march,02 February Average Temperature (Pennsylvania),(03) March Average Temperature (Pennsylvania)
1895,,26.6,15.6,21.9,39.97,27.6,40.2,17,31.3
1896,,35.04,22.2,33.5,38.03,25.3,36.9,26.6,27.8
1897,,33.39,23.6,34.7,38.79,32,44,27.9,36.9
1898,1,35.37,24.8,33.3,41.05,38,46,26.7,42
1899,,25.5,18.1,22.2,37.63,29.3,38.4,20,34
1900,1,30.76,21.4,27.5,41.27,26,37.9,24.1,29.3
1901,1,29.86,16,26.2,40.71,30.8,41.9,18.9,35.1
1902,,31.46,20.1,23.6,41.58,37.1,43.9,21,38.8
1903,1,28.42,24.5,31.3,42.21,40.4,47.7,28,44.5
1904,1,31.59,15,28.2,41.76,29.8,42.8,19.2,34
1905,1,26.94,15.2,22.2,45.12,31.4,47.2,18.1,36.9
1906,1,33.69,22,30.7,36.1,25.7,33.9,25.3,29.1
1907,1,35.46,15.2,31.5,45.7,33.3,50.2,20.1,39.5
1908,1,33.01,18.4,31.2,43.92,32.7,47.1,22.1,38.4
1909,1,35.02,26.4,37.2,40.35,29.6,41.1,32.9,33.1
1910,1,29.3,20.6,28.5,49.44,37.8,51.9,23.8,42.6
1911,1,33.66,21.4,37.5,44.02,28.4,42.9,28.5,32.8
1912,1,31.08,18.6,25.8,35.76,27.7,35.2,21.1,31.5
1913,1,29.5,20.2,29.6,38.71,35.9,41.1,25,40
1914,1,29.52,14.5,26.3,40.75,29.6,39,18.7,31.7
1915,1,35.94,26.7,37.6,36.95,28.3,34.9,30.6,30.3
1916,1,33.03,18.9,30.1,42.15,24.2,40.2,22.8,28.2
1917,1,30.09,17.8,29.1,38.35,31.2,42.6,23,35.4
1918,1,33.82,19.8,34.1,45.75,32.9,48.2,25.7,39.3
1919,1,32.25,25.4,34.1,40.89,34.8,43.9,29.6,38.6
1920,1,33.69,19.6,31.5,40.28,32.7,42.9,23,36.7
1921,1,36.9,25.1,37.6,46.63,40.6,51.6,30,45.4
1922,1,31.95,24.2,35.7,40.42,33.8,44.1,30.1,37.1
1923,1,29.57,16.2,29.1,38.3,27.9,40.1,22.1,34.3
1924,1,35.19,18.3,31.7,37.18,31.3,37.5,23.9,33.5
1925,1,38.3,29.2,38.7,44.24,35.5,45,32.8,38.1
1926,1,37.67,20.5,36.3,39.65,25.9,36.3,25.8,30.2
1927,1,37.9,26.2,40.4,42.26,35.2,44.6,32,39.2
1928,1,34.34,22.6,34.2,43.12,30.2,42,27.3,34
1929,1,26.92,21.7,26.2,43.56,36.2,47.5,24.7,41
1930,1,40.1,26.1,41.4,40.41,31.7,40.8,32.2,35.1
1931,1,37.94,24.2,38,39.42,32.9,37.7,29,33.7
