dauid,Emp_fulltime,Emp_notemp,stu_notstudent,stu_fulltime,person_n,hhld_size,hhld_vehicles,person_age,drivelic_NO,drivelic_YES,TPass_No,person_N_trips
35200002,102.47,12.34,145.17,0,233.51,3.333207973,1.217876395,61.44156567,89.44,144.07,233.51,2.268682283
35200003,90.46,90.5,154.27,26.69,304.26,3.444972826,1.862432065,51.19565503,88.57,215.69,277.57,1.971701834
35200004,30.61,13.67,104.48,0,212.23,3.495799704,2.053862626,40.26523112,60.2,152.03,168.46,2.128822504
35200005,36.28,36.28,72.56,0,72.56,4,2,40,0,72.56,72.56,6
35200006,99.42,122.03,221.45,0,360.73,5.675331858,2,42.88320905,183.63,177.1,343.48,0.801929421
35200007,23.38,0,35.07,0,35.07,3,2,46,0,35.07,23.38,2
35200009,0,0,14.84,0,33.78,1.389551625,0.610448375,82.30609828,18.94,14.84,33.78,6.832445234
35200010,91.8,19.5,141.81,0,206.37,3.117168093,1.643527463,49.12545428,45.92,160.45,175.27,3.33207346
35200012,20.86,10.43,31.29,0,31.29,3,2,44.66666667,10.43,20.86,0,3.333333333
35200018,355.92,666.45,1019.13,175.37,2170.82,2.471110845,0.739987622,44.86986484,846.19,1324.63,1740.5,1.640126772
35200028,123.1,130.78,231.43,28.64,452.91,2.897578204,0.797006391,40.81523923,207.9,216.37,384.78,2.149301186
35200029,84.82,0,84.82,0,84.82,2,0,39,84.82,0,0,2
35200030,212.26,45.3,262.92,13.58,444.61,2.99844888,1.487725924,39.89856279,124.33,304.78,444.61,2.533051438
35200031,212.44,152.24,361.93,99.27,723.3,3.560128936,1.54190429,43.61768284,273.49,449.81,709.04,2.251873358
35200032,293.51,194.77,521.34,28.92,592.08,3.706108266,1.622604243,36.61802459,48.8,543.28,485.44,1.436663964
35200033,35.98,15.07,71.96,0,90.84,2.920739762,1,50.47490092,9.44,81.4,90.84,2.150924703
35200034,381.26,133.38,564.66,106.27,843.19,3.789077141,1.598386048,41.87549663,269.54,553.27,629.2,1.834568721
35200035,146.86,45.79,274.92,15.88,442.01,3.590308676,1.518631813,45.57333544,119.52,322.49,362.27,2.925182688
35200036,57.12,19.04,44.7,0,106.22,3.117698855,1.194305841,50.11843344,19.04,87.18,68.14,1.875353041
35200037,252.72,267.72,578.81,90.19,1113.61,3.946872231,1.217331207,39.34075664,639.87,462.17,891.27,1.865419671
35200039,33.87,0,57.55,0,100.63,2.201487639,1,63.59544867,18.42,82.21,100.63,1.816953195
35200041,121.48,76.32,260.12,25.77,551.48,3.796198869,0.973497304,41.4278487,359.9,191.58,436.63,1.961394792
35200042,99.21,50.43,149.64,0,275.22,3.914436388,1.462623599,34.69061115,100.16,141.33,239.84,1.841254269
35200043,397.97,28.7,457.48,0,719.14,2.453946967,1.286711368,40.28930389,174.25,544.89,573.78,2.704438635
35200044,15.17,5.37,41.08,0,65.44,3.502010969,1.248994516,48.80929095,31.28,34.16,50.27,3.448349633
35200046,28.47,20.32,48.79,0,197.35,2.728942598,1.210513595,46.17126932,97.18,100.17,160.09,2.168229035
35200047,780.92,77.68,772.93,47.5,1056.48,2.511508135,1.163415523,41.22414054,345.56,710.92,776.1,2.270823868
35200048,151.72,394.79,287.71,336.15,879.5,5.232714432,2.019022668,31.35986356,285.4,594.1,679.83,2.440534395
35200049,54.72,237.94,109.44,118.97,496.64,4.310692529,1.383166445,31.21657539,117.43,379.21,441.92,0.906169459
35200050,404.13,138.29,542.42,0,796.42,4.102141114,1.76867031,42.35714824,176.27,544.46,693.5,2.412596369
35200051,258.8,212.59,440.05,32.03,632.66,4.195952219,2.115244167,46.36896595,76.67,534.76,520.46,3.138526223
35200052,0,15.33,15.33,0,82.55,1.287229066,0.923592702,68.57492429,15.33,67.22,82.55,1.243367656
35200053,0,27.92,27.92,9.99,92.16,1.826035268,0.826035268,69.52701823,13.96,59.43,92.16,1.342447917
35200054,101.46,20.53,121.99,0,192.38,2.736946934,1.813202447,47.89754652,44.4,147.98,171.85,1.672575112
35200055,60,0,60,0,65.84,2.674107143,1.837053571,39.4835966,0,65.84,65.84,3.366950182
35200057,198.31,147.51,396.62,0,423.86,3.945758084,1.630546763,42.73149153,64.42,359.44,423.86,1.92945784
35200058,0,17.92,17.92,0,35.84,2,2,64.5,0,35.84,17.92,7
35200062,346.75,335.75,568.86,156.12,1080.4,3.629808436,1.575743509,43.85983895,357.33,723.07,913.32,1.710690485
35200064,376.51,148.57,657.71,69.98,896.28,3.940553679,1.972274862,44.54405989,156.03,730.13,675.53,1.712679074
35200065,179.32,199.21,342.16,110.24,950.23,4.487762092,1.908863086,42.03353925,371.35,578.88,860.99,1.775022889
35200066,234.38,152.98,345.21,70.26,628.56,3.422871444,1.481782741,49.13180921,96.47,514.9,496.94,1.694428535
35200067,41.6,14.85,71.05,0,126.12,2.347728965,1.32725242,60.15318744,47.73,78.39,126.12,1.829210276
35200068,0,42.74,42.74,0,105.81,2.506158219,2,61.47812116,21.37,84.44,105.81,1.793119743
35200069,184.38,255,306.72,149.16,721.81,3.257415585,1.300905482,44.2696416,441.92,263.39,565.32,1.280378493
35200070,136.57,0,136.57,0,221.46,2.528082192,1.764041096,44.34480267,30.4,191.06,217.45,1.99990969
35200071,329.54,257.72,624.38,0,763.97,5.271088339,1.692333238,36.52401272,393.87,370.1,376.17,1.169587811
35200072,NA,NA,NA,NA,68.86,2,1.366250363,77.30249782,0,68.86,68.86,2.330816149
35200073,0,42.32,57.52,0,69.68,1.641847314,1.283694628,58.19919633,0,69.68,69.68,2.307118255
35200074,16.47,18.08,76.74,0,131.5,2.689711597,0.783186746,42.85475285,37.46,94.04,115.03,1.423422053
35200078,232.62,199.22,487.69,13.42,658.16,3.51140834,1.846429976,46.2723198,177.93,431.07,581.44,1.63370609
35200079,327.48,216.83,561.79,0,897.94,2.467995298,1.2814704,55.77790276,253.45,644.49,830.28,1.317337461
35200080,119.64,46.49,173.61,19.29,337.68,2.954847742,1.631169058,49.81544658,48.77,191.58,262.71,1.615493959
35200082,35.57,11.13,57.83,12.22,97.69,2.628194781,1.299435028,52.68133893,38.26,59.43,74.34,2.628518784
35200085,197.53,60.24,296.51,0,430.19,3.018461363,2.213591678,46.64610986,19.6,395.41,366.42,3.459889816
35200086,183.21,18.89,221.71,26.48,353.45,3.441967926,1.575428105,47.13175838,145.05,192.26,270.04,2.313566275
35200087,72.9,4.86,88.94,0,178.34,2.599708455,1.913411079,61.52573736,16.92,161.42,154.78,2.356061456
35200088,130.38,47.66,163.97,11.18,335.44,2.785341469,1.491068147,52.4892082,76.9,258.54,209.02,2.106963988
35200089,137.52,77.08,323.99,20.51,524.63,2.871378683,1.913481875,49.06313021,81.25,420.75,460.95,1.76838915
35200090,36.94,38.45,162.82,30.32,299.85,2.766482383,1.67084743,52.56865099,51.81,248.04,232.27,2.507787227
35200091,293.44,56.28,454.34,64,763.78,3.609515899,1.418485999,41.75272984,260.67,461.26,618.68,1.722839037
35200092,270.86,156.3,473.95,63.92,607.98,3.125929368,1.755901487,40.54845554,127.66,480.32,586.26,1.48103556
35200093,300.6,100.66,377.81,28.56,628.94,3.284973049,1.581028664,41.74994435,117.59,437.94,531.06,1.583123986
35200094,108.2,0,114.69,0,602.49,1.551240044,0.282513358,72.55378513,334.98,112.09,517.32,1.230194692
35200095,61.6,17.14,113.1,0,309.4,2.804423381,1.015955766,62.32449903,88.3,221.1,257.8,1.442857143
35200096,4.51,0,4.51,0,70.63,1.879957413,1,72.10420501,9.7,60.93,70.63,0.677049412
35200097,67.14,19.92,78.72,8.34,130.41,1.781314028,1.324409234,50.92891649,0,130.41,122.07,2.823249751
35200099,85.49,30.8,102.49,0,138.64,2.104751784,1.064976469,54.23961339,28.17,110.47,92.5,1.91856607
35200100,45.17,0,45.17,0,89.53,2.484873716,1.567860117,56.1096839,7.24,82.29,79.3,2.989053948
35200101,233.74,133.27,390.81,55.42,742.48,3.330388135,1.553092458,50.16237474,185.55,508.23,555.48,2.26459972
35200102,189.88,120.72,289.67,57.13,552.49,3.375303316,1.71194392,44.06414596,55.82,428.31,453.56,2.041955511
35200103,75.1,11.49,86.59,14.35,184.94,2.535889378,1.650408548,55.14188385,13.88,171.06,170.59,2.012977182
35200104,302.16,370.93,644.9,187.91,1069.18,4.106432999,2.333689535,40.14758039,298.53,766.18,956.72,1.851961316
35200105,396.34,449.77,974.58,92.11,1330.01,3.768383632,1.694327052,46.80332479,212.37,982.28,1206.26,1.364884475
35200106,389.87,102.84,630.02,20.76,845.58,3.854161132,1.904292057,42.12785307,203.51,642.07,798.12,1.76187942
35200107,139.94,31.09,266.53,19.78,349.75,3.834315525,1.809680224,40.37632595,99.52,214.05,257.87,1.79073624
35200108,198.28,30.31,265.77,0,436.22,4.394096793,2.161019045,42.16473339,80.51,307.74,420.23,2.429485122
35200109,75.39,240.62,345.37,29.69,542.97,4.422240188,1.695061002,48.70860269,134.44,408.53,542.97,1.306812531
35200110,216.16,115.53,231.06,100.63,331.69,3.12897083,2,32.17968585,0,331.69,231.06,1.910157074
35200111,21,10.56,31.56,0,89.22,2.265041889,1.457730388,62.07632818,10.8,78.42,68.22,2.316408877
35200112,63.11,0,73.86,0,169.66,2.245962404,1.103653693,53.40198043,76.78,83.37,122.21,1.567664741
35200114,172.25,109.19,242.21,20.36,450.08,3.98345733,2.337417943,49.14170814,154.1,295.98,297.5,2.821409527
35200115,451.8,135.23,659.28,26.79,921.8,2.579760439,1.471594089,50.72818399,122.84,798.96,699.34,2.059752658
35200116,60.4,13.24,73.64,9.81,206,2.593805087,1.876479476,55.99271845,19.62,186.38,196.19,1.45092233
